time,node_id,rssi
182.833,62,-80.0
182.833,64,-92.0
182.833,60,-82.0
183.083,64,-92.0
183.083,60,-82.0
183.083,62,-80.0
183.334,65,-86.0
183.334,60,-80.0
183.334,64,-88.0
183.334,63,-89.0
183.584,65,-86.0
183.584,63,-89.0
183.584,60,-80.0
183.584,64,-88.0
183.835,64,-85.0
184.085,64,-85.0
184.335,64,-89.0
184.335,63,-81.0
184.586,63,-81.0
184.586,64,-89.0
184.716,2,
184.836,63,-81.0
184.836,64,-89.0
185.086,63,-80.0
185.337,63,-80.0
185.587,66,-92.0
185.587,64,-86.0
185.587,60,-83.0
185.587,63,-82.0
185.837,66,-92.0
185.837,64,-86.0
185.837,60,-83.0
185.837,63,-82.0
186.088,63,-82.0
186.088,66,-92.0
186.088,60,-83.0
186.088,64,-86.0
186.338,60,-83.0
186.338,67,-95.0
186.338,63,-87.0
186.338,64,-88.0
186.589,67,-95.0
186.589,64,-88.0
186.589,60,-83.0
186.589,63,-87.0
186.679,2,
186.839,63,-87.0
186.839,64,-88.0
186.839,60,-83.0
186.839,67,-95.0
187.089,65,-75.0
187.34,65,-75.0
187.59,65,-75.0
187.84,65,-78.0
187.84,67,-93.0
188.091,65,-78.0
188.091,67,-93.0
188.341,65,-79.0
188.341,66,-83.0
188.341,67,-90.0
188.341,68,-91.0
188.591,66,-83.0
188.591,67,-90.0
188.591,65,-79.0
188.591,68,-91.0
188.661,2,
188.842,65,-79.0
188.842,67,-90.0
188.842,66,-83.0
188.842,68,-91.0
189.092,67,-86.0
189.092,69,-94.0
189.092,65,-77.0
189.342,65,-77.0
189.342,67,-86.0
189.342,69,-94.0
189.593,67,-86.0
189.593,69,-94.0
189.593,65,-77.0
189.843,65,-81.0
189.843,70,-84.0
189.843,67,-89.0
190.094,67,-89.0
190.094,65,-81.0
190.094,70,-84.0
190.344,65,-81.0
190.344,67,-89.0
190.344,70,-84.0
190.594,68,-87.0
190.594,71,-94.0
190.594,65,-82.0
190.594,70,-86.0
190.594,67,-89.0
190.664,2,
190.845,65,-82.0
190.845,70,-86.0
190.845,68,-87.0
190.845,71,-94.0
190.845,67,-89.0
191.095,70,-86.0
191.095,71,-94.0
191.095,68,-87.0
191.095,65,-82.0
191.095,67,-89.0
191.345,70,-91.0
191.345,71,-94.0
191.345,67,-88.0
191.345,65,-81.0
191.345,68,-80.0
191.596,67,-88.0
191.596,65,-81.0
191.596,68,-80.0
191.596,71,-94.0
191.596,70,-91.0
191.846,68,-80.0
191.846,65,-81.0
191.846,71,-94.0
191.846,70,-91.0
191.846,67,-88.0
192.096,72,-91.0
192.096,70,-83.0
192.096,71,-89.0
192.096,67,-88.0
192.347,72,-91.0
192.347,67,-88.0
192.347,70,-83.0
192.347,71,-89.0
192.597,73,-94.0
192.597,70,-89.0
192.597,67,-88.0
192.687,2,
192.848,73,-94.0
192.848,67,-88.0
192.848,70,-89.0
193.098,73,-89.0
193.098,67,-85.0
193.098,70,-86.0
193.098,71,-90.0
193.348,73,-89.0
193.348,67,-85.0
193.348,71,-90.0
193.348,70,-86.0
193.599,70,-86.0
193.599,67,-85.0
193.599,73,-89.0
193.599,71,-90.0
193.849,71,-89.0
193.849,74,-85.0
193.849,67,-85.0
193.849,70,-90.0
194.099,71,-89.0
194.099,74,-85.0
194.099,67,-85.0
194.099,70,-90.0
194.35,70,-90.0
194.35,71,-89.0
194.35,74,-85.0
194.35,67,-85.0
194.6,70,-87.0
194.6,71,-85.0
194.6,67,-84.0
194.6,68,-87.0
194.66,2,
194.85,71,-85.0
194.85,70,-87.0
194.85,67,-84.0
194.85,68,-87.0
195.101,71,-94.0
195.101,70,-91.0
195.101,75,-95.0
195.101,67,-71.0
195.351,71,-94.0
195.351,75,-95.0
195.351,67,-71.0
195.351,70,-91.0
195.601,67,-71.0
195.601,75,-95.0
195.601,71,-94.0
195.601,70,-91.0
195.852,74,-84.0
195.852,67,-82.0
195.852,71,-92.0
196.102,71,-92.0
196.102,74,-84.0
196.102,67,-82.0
196.353,71,-92.0
196.353,74,-84.0
196.353,67,-82.0
196.603,67,-81.0
196.603,71,-89.0
196.603,74,-77.0
196.663,2,
196.853,71,-89.0
196.853,74,-77.0
196.853,67,-81.0
197.104,67,-81.0
197.104,74,-77.0
197.104,71,-89.0
197.354,72,-69.0
197.354,67,-88.0
197.354,71,-84.0
197.604,71,-84.0
197.604,67,-88.0
197.604,72,-69.0
197.855,72,-69.0
197.855,67,-88.0
197.855,71,-84.0
198.105,72,-68.0
198.105,67,-85.0
198.105,76,-82.0
198.105,71,-84.0
198.355,72,-68.0
198.355,76,-82.0
198.355,71,-84.0
198.355,67,-85.0
198.606,72,-68.0
198.606,71,-84.0
198.606,76,-82.0
198.606,67,-85.0
198.696,2,
198.856,67,-84.0
198.856,77,-87.0
198.856,71,-83.0
199.107,71,-83.0
199.107,67,-84.0
199.107,77,-87.0
199.357,71,-83.0
199.357,77,-87.0
199.357,67,-84.0
199.607,71,-80.0
199.607,77,-84.0
199.607,78,-91.0
199.607,67,-81.0
199.858,71,-80.0
199.858,67,-81.0
199.858,78,-91.0
199.858,77,-84.0
200.108,67,-81.0
200.108,78,-91.0
200.108,71,-80.0
200.108,77,-84.0
200.358,67,-85.0
200.358,77,-82.0
200.358,79,-85.0
200.358,80,-94.0
200.358,71,-81.0
200.609,77,-82.0
200.609,71,-81.0
200.609,80,-94.0
200.609,79,-85.0
200.609,67,-85.0
200.709,2,
200.859,71,-81.0
200.859,80,-94.0
200.859,67,-85.0
200.859,79,-85.0
200.859,77,-82.0
201.109,79,-83.0
201.109,67,-87.0
201.109,78,-85.0
201.109,81,-88.0
201.109,71,-83.0
201.109,77,-81.0
201.36,81,-88.0
201.36,67,-87.0
201.36,78,-85.0
